"uid","crop_code","scenario_id","forwardsvolume","backwardsvolume","volume","ratio","numgeom","st_astext"
23001001828,23,1,1.32374,0,1.32374,100,1,"LINESTRING(30.50757980692604 -1.899942418957019,30.507006078689127 -1.903830900005957,30.506185908487954 -1.907171133349897,30.505327070996536 -1.908725165813118,30.5035878 -1.9112383,30.499973544394145 -1.911686066289189,30.49635587949865 -1.912686582189419,30.493786982737767 -1.914570807961789,30.4931486 -1.9161294,30.493716118160485 -1.919041830774604,30.49494056235191 -1.920872582096277,30.496905531900495 -1.923241890631073,30.498532373743643 -1.92520781929371,30.500498494433092 -1.927623406181045,30.503574646535895 -1.932277436265556,30.505404471693062 -1.935068145695336,30.50666402913796 -1.936957198881258,30.51163807896306 -1.940527691808478,30.515911618941992 -1.944062542196314,30.51784671381792 -1.947143177900879,30.518521463476485 -1.948630054167724,30.519987421016115 -1.95200540694607,30.52134475143953 -1.954895888291734)"
23001001700,23,1,2.60434,0,2.60434,100,1,"LINESTRING(30.24271566662994 -1.557816061891753,30.244317432852494 -1.562285694197146,30.2471423 -1.5624908,30.248199020860927 -1.560173789543254,30.251171716034666 -1.56099407543872,30.2530392 -1.5629251,30.256529812189893 -1.562816963246614,30.25994517059202 -1.564169564686424,30.263361577838918 -1.565322658665198,30.268097753987853 -1.567794390019345,30.271872427979687 -1.568332914071844,30.27547266988536 -1.569476280374914,30.280304185676243 -1.569813160961794,30.283874822447004 -1.569891675707604,30.288200380197992 -1.569436659054493,30.291152324023194 -1.569704718539006,30.29242595945839 -1.570356564614242,30.294593893024757 -1.570066056720816,30.296384679148595 -1.568343914641807,30.299711695106378 -1.568382072747156,30.301686977192155 -1.571030984851402,30.30397075907 -1.571988965349352,30.30486295572132 -1.568417045925362,30.30810520758882 -1.567170223203132,30.311838685728237 -1.568379081419753,30.31562518171393 -1.567676232575209,30.31774939341818 -1.565171982282004,30.318767126173867 -1.563407010850268,30.31967848406129 -1.559940984667841,30.32081440006323 -1.557269352763809,30.323567715929197 -1.555505961061952,30.325434489166653 -1.552900173791019,30.327201901407932 -1.551027218687265,30.3286721 -1.5500647,30.33239911477882 -1.550797749697338,30.33602083157179 -1.551847964053364,30.3384856 -1.5507524,30.34055205737955 -1.54869060814888,30.34310930529855 -1.546777062036894,30.344565311637474 -1.546092420450023,30.34813613543877 -1.545685350385383,30.352081316643442 -1.545460617182146,30.356125935182682 -1.545184020735791,30.36007793562643 -1.544769974671649,30.36374314179621 -1.545046948705126,30.368274487131334 -1.544594262670286,30.37197202709805 -1.543722703406776,30.37563812879357 -1.543004434702561,30.37998413321675 -1.542900541346959,30.3841459471795 -1.543593973527382,30.387176917025645 -1.545247338378905,30.38913715952111 -1.546936374407729,30.392 -1.5480149,30.39448122905275 -1.548087820088785)"
23001000652,23,1,3.22614,0,3.22614,100,1,"LINESTRING(29.5762948 -2.1995005,29.573803648921576 -2.201611832290244,29.57190980074634 -2.20339852812716,29.567767702535217 -2.203538398594469,29.564178186157804 -2.204562936268925,29.56017785846177 -2.20411983128024,29.5602836 -2.2070648,29.5563608 -2.2066843,29.552228009834113 -2.208049507192572,29.552677789743797 -2.211562397069634,29.554344038532722 -2.213283306932492,29.554580363601378 -2.215862379965291,29.5541815 -2.2184551,29.551971294565956 -2.219989505355249,29.5511788 -2.224387,29.55114728117249 -2.227611798154368,29.5491886 -2.229147,29.548067247320617 -2.231988406380234,29.548279221359252 -2.235250294760627,29.551554421844788 -2.240891582701007,29.55280709299305 -2.243145083647444,29.553631471414388 -2.247960035185978,29.555134235137015 -2.24970521663524,29.556034591854687 -2.252050310874044,29.556626965043012 -2.255358438014894,29.56005524173617 -2.256834150216148,29.5620967 -2.2592719,29.5615449 -2.2602006,29.562563755206273 -2.264384160048671,29.56393747418812 -2.268227313465627,29.56645913361718 -2.270906455528718,29.567089906529638 -2.272452049720445,29.5672949 -2.276363,29.568706 -2.28023,29.572764614553307 -2.279864279520488)"
23001002973,23,1,3.43665,0,3.43665,100,1,"LINESTRING(30.08906095282638 -2.139958500533257,30.093356106596012 -2.136636103030844,30.095016769874373 -2.134991105838561,30.09695570232282 -2.133111773546098,30.09908677871512 -2.131564446885563,30.10013040844768 -2.128028003381301,30.100974744891293 -2.124142596128091,30.101592235591838 -2.120251581933405,30.101753194736173 -2.119501616093924,30.10297495352629 -2.114737039995128,30.104779587171077 -2.112602783806706,30.107340495495855 -2.110520103804184,30.1086558 -2.1089161,30.111908120952414 -2.107780389862024,30.11398502757448 -2.10302021934036,30.112172316331534 -2.100433184111214,30.11552914995738 -2.099591670079357,30.1171933 -2.0977267,30.119500839860304 -2.098111548966904,30.119877898708822 -2.09801193769338,30.123710203963057 -2.095763224290618,30.13148261300597 -2.08386767985362,30.137248203389227 -2.084396584971899,30.140282391233008 -2.088835414350649,30.15453559441829 -2.09458348854349,30.182544307755805 -2.092975019067323,30.184626963134548 -2.085009134478487,30.191787557447704 -2.087511645818946)"
23001001058,23,1,7.0629,0,7.0629,100,1,"LINESTRING(29.764151486363318 -2.611866107347717,29.7673756 -2.6125904,29.768982306428462 -2.61459133342607,29.77154454745973 -2.61661056765047,29.77501961097143 -2.617446774483744,29.776589 -2.6185681,29.7800249 -2.6188039,29.784093837492374 -2.619270861426549,29.7871272571844 -2.621240374448451,29.789234244312933 -2.622754020537908,29.791937883152848 -2.623539090345206,29.79528082205551 -2.622052410562092,29.796488501594908 -2.621623341942651,29.80009916759026 -2.620207053380598,29.803926724387896 -2.618912896142868,29.806926690582515 -2.61796028163509,29.80855326246899 -2.617165928727213,29.811947552074216 -2.615898315245932,29.814207183663488 -2.612808829464353,29.814698266059768 -2.611497878057388,29.816530368508065 -2.608184593965389,29.820289818247925 -2.604427854829234,29.82401195833183 -2.603834179602328,29.82804475207191 -2.604207426884466,29.8325251580575 -2.60462684387752,29.8344087 -2.6026457,29.83641212311217 -2.600479491246185,29.83837040256136 -2.601290097972243,29.839107933384653 -2.595362237447838,29.841361699083436 -2.593169729495749,29.842677498372645 -2.591367653895744,29.843896645695462 -2.587973514577388,29.845243787059353 -2.584570086690242,29.847446327095557 -2.582756293136099,29.84810617444465 -2.580056777251689,29.8493003 -2.5766374,29.85191507654488 -2.575530797910429,29.8534664 -2.5738172,29.8560521 -2.573,29.8584889 -2.5733543,29.8596945 -2.5746244,29.86401760251421 -2.574465585091083,29.866295754122874 -2.572395906141815,29.866400638914886 -2.57173549028209,29.866002812694052 -2.568473802304462,29.86526804878417 -2.566880254992421,29.86404283509841 -2.564039571046015,29.865301316004214 -2.559974214346016,29.86502842199202 -2.555722972355423,29.863717148152308 -2.552126489350682,29.862229301292494 -2.549611870493022,29.860544136196012 -2.54780731399594,29.8602229 -2.5445098,29.856652553882345 -2.543432921485354,29.85573169931909 -2.539667991559024,29.859911474514735 -2.535834952851683,29.8626316 -2.5341184,29.864445130091823 -2.532235341454986,29.865856290183316 -2.528633147240668,29.866261378258073 -2.527476559728081,29.867107140419407 -2.523783093351888,29.868487714918565 -2.520288629981101,29.870148994694855 -2.516337727574646,29.870211586359755 -2.515937527750895,29.871863668875065 -2.511886280810093,29.873647801607813 -2.508879954085225,29.87456734222266 -2.507224789815903,29.875785834379357 -2.503904354579247,29.876862255833032 -2.500098253120458,29.8776439 -2.4970565,29.879613415333417 -2.495601064643518,29.878292942572013 -2.493267877563924,29.8787329 -2.4872757)"
23001003000,23,1,7.54625,0,7.54625,100,1,"LINESTRING(29.919660942137924 -1.724245442211513,29.919956665218013 -1.72799682723971,29.919619889801996 -1.732776694260553,29.92111087601165 -1.735895997734874,29.92140894735048 -1.740095262031871,29.920501125389602 -1.743940084403147,29.92167924749536 -1.747431061349597,29.9214993 -1.7513693,29.922992187380846 -1.752695402982657,29.92438453923982 -1.755359277048295,29.925657018299557 -1.756894712626889,29.927604721107826 -1.760115081196445,29.927387282095662 -1.7642567835869,29.92817667397725 -1.767961866903619,29.92866305515349 -1.772052740894508,29.9269027 -1.7754441,29.927942059042312 -1.780018546929673,29.92822557614968 -1.78406258175906,29.92811552201875 -1.787105455892004,29.930241550988583 -1.788366416159237,29.93034583957446 -1.791434235003047,29.928537260000002 -1.793074519999998,29.928583667757007 -1.795659180292182,29.9298209 -1.7980616,29.932606989091894 -1.799881781393864,29.933367134978717 -1.802806608747677,29.935963201806263 -1.803995786389046,29.93465331312718 -1.807032851260897,29.936631952794787 -1.811385069748711,29.9379708 -1.8146388,29.940072806730647 -1.815794965997007,29.94090521496684 -1.819694903058807,29.9420893 -1.8229199,29.9440060780838 -1.823891395614376,29.948072038722877 -1.823711576307298,29.948142663170128 -1.827781952596373,29.949834928136 -1.830925015274442,29.950739025755436 -1.832608280932944,29.952379225649658 -1.835815101526915,29.95416738975227 -1.83916843782114,29.954612169321596 -1.840465517438859,29.95631260346864 -1.84382629543145,29.95737455795547 -1.847301713788962,29.958233263686473 -1.848867946860135,29.959590951146563 -1.852157428675324,29.9608916 -1.8539706,29.963661363568008 -1.856154695737529,29.96737718255385 -1.854109019223391,29.971310684875295 -1.854061764461176,29.972558594492906 -1.853575814489737,29.975159766518125 -1.853755252142761,29.976885184061075 -1.855408382049261,29.97805792671061 -1.857246775603243,29.978758314661718 -1.86018913271323,29.980770502267948 -1.864006960040559,29.980779902104228 -1.86796947713051,29.98183642097197 -1.870272666463764,29.983419180848777 -1.87233146064017,29.98436367941255 -1.875983031535431,29.983447003145436 -1.879826498991944,29.984589777313907 -1.882413329981139,29.986881600777586 -1.884210545797121,29.987670561435355 -1.888054327652741,29.988740934661035 -1.891607069468015,29.989672949378445 -1.893371121541569,29.991550242892227 -1.896322989661654,29.993395958983832 -1.899256321328833,29.994276176852043 -1.900913632559423,29.99596663440101 -1.904020730134648,29.99781659227415 -1.906473155682847,29.999420180779047 -1.908460467987677,30.001343023750604 -1.910819601540054,30.002638917502395 -1.912746239526376,30.00402216261745 -1.91598912405916,30.00586183003407 -1.91927048309955,30.006241806233273 -1.92042896245826,30.0082225 -1.9236782,30.0117677 -1.924662,30.016207888991953 -1.924550921994234,30.01861534199852 -1.925740101482681,30.019790189783432 -1.927829670200541,30.0216718 -1.9304845,30.0251069 -1.9323635,30.019032120431838 -1.950661835635176)"
23001001068,23,1,7.73442,0,7.73442,100,1,"LINESTRING(29.767988635302157 -2.536023382461859,29.768085839233773 -2.532089946554447,29.77200416475934 -2.532065859142165,29.7755429 -2.5309752,29.77924145026079 -2.530091584671316,29.78123589400954 -2.531348844954993,29.78186323630435 -2.532796639854145,29.783878337010293 -2.536645012209015,29.78746257776731 -2.53750800256157,29.79241556527663 -2.536456020675296,29.794350433499545 -2.53451637840711,29.79644456320983 -2.532462602590336,29.799054 -2.5305055,29.800046160851362 -2.52762726834943,29.800428535721334 -2.523980726144592,29.801714138050276 -2.52048297513034,29.801896014698176 -2.519694892159936,29.804594 -2.5145197,29.808018521694397 -2.515893489463679,29.8110017 -2.5146966,29.81278785421105 -2.513571630723916,29.815822031895493 -2.511868419571858,29.820114578094252 -2.508901500445571,29.82399286137787 -2.507579225367149,29.8284253 -2.5043907,29.831850392147874 -2.504730541266211,29.835442689849696 -2.503567604193725,29.8376722 -2.5007286,29.840055826360544 -2.499843169877313,29.843489524249918 -2.498794565080822,29.8475477 -2.498651,29.848506946777835 -2.496218596236575,29.847812517935957 -2.491985741798615,29.849085474238297 -2.488213900598725,29.851159454549748 -2.487135705536013,29.853294876954756 -2.485408148879878,29.856041274994478 -2.48443526357811,29.860051809661588 -2.484402794721964,29.863994932805973 -2.484043131955588,29.8679651 -2.483902,29.8708606 -2.4822218,29.871294967990394 -2.479478989146291,29.87335988442181 -2.47667091335621,29.8737775 -2.4770339,29.875705637383778 -2.480491389327341,29.87683433292348 -2.484080822864456,29.8787329 -2.4872757)"
23001002811,23,1,7.91294,0,7.91294,100,1,"LINESTRING(29.708 -1.74799999999999,29.707836917916268 -1.753407754538902,29.7114891 -1.7533585,29.7128288 -1.7539859,29.71600014677303 -1.755984408188305,29.720027454023473 -1.756057636397104,29.722702717460365 -1.75432703382898,29.724347872558614 -1.752216129366614,29.726384637090145 -1.750347226198767,29.7279672 -1.7490074,29.7316284 -1.7485985,29.733593303448874 -1.749901172510651,29.7363196 -1.7518304,29.7403103587293 -1.751741489434896,29.7446372 -1.7525415,29.74401390939622 -1.756298203884818,29.74398815601787 -1.759998763447878,29.7436233 -1.7640274,29.744818 -1.7673581,29.7461164 -1.7691211,29.747400904494803 -1.772390334510679,29.7484392 -1.773865,29.751948640953923 -1.775662870022936,29.75503249345413 -1.776957251686437,29.7559963 -1.7782363,29.760494821410013 -1.779624446082319,29.7625007 -1.7815338,29.7642361 -1.7839145,29.7649228 -1.7869752,29.766140425994603 -1.788799680289031,29.767818097250014 -1.792013775556573,29.76644697946807 -1.794817915840032,29.76436886389708 -1.796898302873723,29.762899 -1.8005199,29.762120957409298 -1.799665477267247,29.761660296660978 -1.804149670899381,29.762922363300852 -1.805963863682633,29.764694553790303 -1.807245723431539,29.7678624 -1.8095398,29.768218354194257 -1.812740293773843,29.767051863286692 -1.814511754014438,29.765277274495777 -1.816609883438124,29.763577161641155 -1.819675774863578,29.7613607 -1.8219857,29.759978106720858 -1.823757011630268,29.756171040564016 -1.824771702702216,29.755258020320017 -1.82736797093792,29.755966055865724 -1.832022778707023,29.75590612871287 -1.835990612871297,29.756948639179516 -1.839475004094547,29.757616448239606 -1.843282779299732,29.7580522 -1.8444001,29.7603411 -1.8403835,29.7623459 -1.8390299,29.764033409770185 -1.835567125586289,29.767716934804433 -1.835584751740457,29.772019396610336 -1.836061342448126,29.7759338 -1.8356291,29.7776654 -1.8334019,29.7802221 -1.8340205,29.7842404 -1.8325031,29.7837698 -1.8352577,29.7844304 -1.8395076)"
23001000450,23,1,8.2912,0,8.2912,100,1,"LINESTRING(29.452089392994417 -1.611483732417812,29.452002318001846 -1.608000510052619,29.451310883433287 -1.604113542461962,29.452472689676927 -1.599940061726686,29.4523193 -1.5961276,29.45117 -1.593362,29.45598584839158 -1.591971104440352,29.460021539069526 -1.591859593448659,29.4639823095799 -1.591365356178958,29.4673464 -1.5911393,29.468719440535388 -1.588953199479917,29.471750654745314 -1.587948888999505,29.4728556 -1.5848037,29.474592151601247 -1.583124825424155,29.475850057017453 -1.581825555812522,29.4799648 -1.5811828,29.48328603222652 -1.578858294776655,29.4843556 -1.5781812,29.48847948690159 -1.576607282159343,29.492300060732585 -1.57525885719773,29.496199185118215 -1.574932230100618,29.49835763447815 -1.574222125771709,29.499944611176076 -1.571912625520942,29.5032477 -1.5696697,29.503296360716643 -1.568498992541844,29.50429281259492 -1.565355229974711,29.5062143 -1.5639199,29.5073126 -1.5598055,29.5090078 -1.5568375,29.5106104 -1.5551737,29.5126616 -1.5524389,29.51606021086553 -1.552079428653914,29.51945431848153 -1.551118357845151,29.521067734273444 -1.549738611560331,29.5244519 -1.5493843,29.5251413 -1.5503938,29.527278342524394 -1.551201093278027,29.5289835 -1.5496263,29.532564192608238 -1.548986127389005,29.535996029548034 -1.547971727861065,29.535541180781124 -1.545775954794705,29.5319420467353 -1.544082620551738,29.5327654 -1.5385863,29.5329778 -1.5359772,29.5330243 -1.531737,29.531194255895137 -1.527635902928546,29.532018114334125 -1.524025652597394,29.5340556 -1.5211166,29.533579008892104 -1.520030568262924,29.535500992556692 -1.515862494311399,29.5350551 -1.5129534,29.5334414 -1.5092185,29.5322485 -1.5078932,29.533404446822292 -1.503925731699204,29.5338678 -1.4996932,29.53252 -1.4957396,29.530967851402764 -1.492129630037078,29.530504260841298 -1.48970591805822,29.52817755820065 -1.487636849964144,29.5265782 -1.4853668,29.525512489228767 -1.484444947435045,29.52419056550544 -1.480034279939216,29.523966983134205 -1.475987433172534,29.52358411045222 -1.472090122325881,29.522625010012852 -1.46876755386141,29.52300417350142 -1.463991514325854,29.524576269394856 -1.460276967432186,29.5248784 -1.4560574,29.52585154688549 -1.453114101041935,29.526973682215548 -1.451678052826681,29.5289129607753 -1.448542495896775,29.530465460026033 -1.446554755995202,29.532435937550048 -1.444948602506621,29.535758914705074 -1.443495509664117,29.539079341335558 -1.441858217963548,29.54054563557698 -1.441204767821249,29.543824799542293 -1.439728431319648,29.547269258158625 -1.438240473281378,29.5512741 -1.4367704,29.555461815117795 -1.435343654741816,29.55744488190511 -1.433584541441428,29.559741819181916 -1.43169375000945,29.56474679902968 -1.43087325799307,29.5679507 -1.4327175,29.569823839099442 -1.434130891866139,29.57212397890384 -1.435784744575056,29.5734539 -1.4380193,29.5761395 -1.4398258,29.58005470358478 -1.441256814860293,29.5845472879553 -1.443091587341242,29.586960486358805 -1.448630155500356)"
23001002656,23,1,5.88159,3.22614,9.10773,1.8231,1,"LINESTRING(29.60188837251193 -2.443939386365618,29.601763314473725 -2.439952527847253,29.601727103210358 -2.435970830825682,29.600958474626093 -2.432264598207582,29.599201779697186 -2.42860624326796,29.598012307179065 -2.424982372265331,29.59736673849015 -2.423544237686474,29.5977634 -2.4212092,29.5987317 -2.4196147,29.5992695 -2.4158991,29.5997657 -2.4132448,29.6029991 -2.4116248,29.6044475 -2.4083953,29.60493489498759 -2.404021751288128,29.6054882 -2.4000921,29.603406430554855 -2.396911865591087,29.600648596189124 -2.395216279604794,29.60095975144653 -2.392406089522447,29.6008751 -2.3875322,29.59853941614944 -2.384071720772988,29.59845940178074 -2.379325866241838,29.5986539 -2.3774974,29.595676279375674 -2.376235785463945,29.595285063679853 -2.371406342105672,29.596597334398503 -2.368771590701999,29.5987384 -2.3673171,29.5992145 -2.3637447,29.6001903 -2.3591048,29.6029368 -2.3588063,29.603876647783213 -2.35590816008715,29.6031681 -2.3535743,29.5992058 -2.3526773,29.5976441 -2.3521661,29.59598163141928 -2.347674711626556,29.596379713739392 -2.344727672855104,29.590162616523372 -2.343973194670756,29.5882566 -2.3432823,29.58298933839375 -2.343982545987316,29.583377628178624 -2.340028455015066,29.583156681413737 -2.336100509807026,29.582999712574736 -2.331441841646363,29.58404336837008 -2.327964591856263,29.5822817 -2.325897,29.58063706014277 -2.32369667515847,29.58042137555793 -2.320109867860185,29.57950326497706 -2.316162849192452,29.57918189519098 -2.312112565726997,29.578518833852225 -2.308295947978494,29.57836353416604 -2.307479188672243,29.5769817 -2.3036541,29.5752342 -2.3019349,29.5728001 -2.2995094,29.57217498432093 -2.296136657156289,29.571141570926738 -2.292676622378297)"
